itemcode,itemname,cons_unit,conv_fac
1002,"BUTTER, MARGARINE, GHEE AND OTHER FAT PRODUCTS",1,1000
1002,"BUTTER, MARGARINE, GHEE AND OTHER FAT PRODUCTS",2,1
1002,"BUTTER, MARGARINE, GHEE AND OTHER FAT PRODUCTS",3,1000
1002,"BUTTER, MARGARINE, GHEE AND OTHER FAT PRODUCTS",4,1
1003,SALT,1,1000
1003,SALT,2,1
1003,SALT,3,1000
1003,SALT,4,1
1004,OTHER SPICES,1,1000
1004,OTHER SPICES,2,1
1004,OTHER SPICES,3,1000
1004,OTHER SPICES,4,1
1081,WHEAT FLOUR,1,1000
1081,WHEAT FLOUR,2,1
1081,WHEAT FLOUR,3,1000
1081,WHEAT FLOUR,4,1
1082,BARLEY GRAIN AND OTHER CEREALS,1,1000
1082,BARLEY GRAIN AND OTHER CEREALS,2,1
1082,BARLEY GRAIN AND OTHER CEREALS,3,1000
1082,BARLEY GRAIN AND OTHER CEREALS,4,1
1101,TEA DRY,1,1000
1101,TEA DRY,2,1
1101,TEA DRY,3,1000
1101,TEA DRY,4,1
1102,COFFEE AND COCOA,1,1000
1102,COFFEE AND COCOA,2,1
1102,COFFEE AND COCOA,3,1000
1102,COFFEE AND COCOA,4,1
1103,OTHER RAW MATERIALS FOR DRINKS,1,1000
1103,OTHER RAW MATERIALS FOR DRINKS,2,1
1103,OTHER RAW MATERIALS FOR DRINKS,3,1000
1103,OTHER RAW MATERIALS FOR DRINKS,4,1
1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)",1,1000
1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)",2,1
1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)",3,1041
1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)",4,1.041
1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)",16,1041
1105,"PREPARED TEA, COFFEE",1,1000
1105,"PREPARED TEA, COFFEE",2,1
1105,"PREPARED TEA, COFFEE",3,1000
1105,"PREPARED TEA, COFFEE",4,1
1106,BOTTLED BEER,1,996
1106,BOTTLED BEER,2,0.996
1106,BOTTLED BEER,3,1000
1106,BOTTLED BEER,4,1
1106,BOTTLED BEER,16,947
1107,LOCAL BREWS,1,1000
1107,LOCAL BREWS,2,1
1107,LOCAL BREWS,3,947
1107,LOCAL BREWS,4,0.947
1108,WINE AND SPIRITS,1,1000
1108,WINE AND SPIRITS,2,1
1108,WINE AND SPIRITS,3,996
1108,WINE AND SPIRITS,4,0.996
4011,PEAS,1,1000
4011,PEAS,2,1
4011,PEAS,3,1000
4011,PEAS,4,1
4011,PEAS,6,290
4012,GREEN BEANS,1,1000
4012,GREEN BEANS,2,1
4012,GREEN BEANS,3,1000
4012,GREEN BEANS,4,1
4013,"OTHER BEANS, LENTILS, AND PULSES",1,1000
4013,"OTHER BEANS, LENTILS, AND PULSES",2,1
4013,"OTHER BEANS, LENTILS, AND PULSES",3,1000
4013,"OTHER BEANS, LENTILS, AND PULSES",4,1
6011,ONIONS,1,1000
6011,ONIONS,2,1
6011,ONIONS,3,1000
6011,ONIONS,4,1
6011,ONIONS,5,69
6011,ONIONS,6,367
6012,TOMATOES,1,1000
6012,TOMATOES,2,1
6012,TOMATOES,3,1000
6012,TOMATOES,4,1
6012,TOMATOES,5,117
6012,TOMATOES,6,385
6013,"CARROTS AND GREEN PEPPER, OTHER VIUNGO",1,1000
6013,"CARROTS AND GREEN PEPPER, OTHER VIUNGO",2,1
6013,"CARROTS AND GREEN PEPPER, OTHER VIUNGO",3,1000
6013,"CARROTS AND GREEN PEPPER, OTHER VIUNGO",4,1
6013,"CARROTS AND GREEN PEPPER, OTHER VIUNGO",5,93
6013,"CARROTS AND GREEN PEPPER, OTHER VIUNGO",6,376
6021,CABBAGE,1,1000
6021,CABBAGE,2,1
6021,CABBAGE,3,1000
6021,CABBAGE,4,1
6021,CABBAGE,5,1441
6021,CABBAGE,6,563
6022,CHINESS/SPINACH,1,1000
6022,CHINESS/SPINACH,2,1
6022,CHINESS/SPINACH,3,1000
6022,CHINESS/SPINACH,4,1
6022,CHINESS/SPINACH,5,367
6022,CHINESS/SPINACH,6,292
6023,OTHER GREEN VEGETABLE,1,1000
6023,OTHER GREEN VEGETABLE,2,1
6023,OTHER GREEN VEGETABLE,3,1000
6023,OTHER GREEN VEGETABLE,4,1
6023,OTHER GREEN VEGETABLE,5,904
6023,OTHER GREEN VEGETABLE,6,428
7021,LEMON/LIME,1,1000
7021,LEMON/LIME,2,1
7021,LEMON/LIME,3,1000
7021,LEMON/LIME,4,1
7021,LEMON/LIME,5,50
7021,LEMON/LIME,6,385
7022,ORANGE/TANGERINE,1,1000
7022,ORANGE/TANGERINE,2,1
7022,ORANGE/TANGERINE,3,1000
7022,ORANGE/TANGERINE,4,1
7022,ORANGE/TANGERINE,5,15
7022,ORANGE/TANGERINE,6,385
7023,OTHER CITRUS FRUITS,1,1000
7023,OTHER CITRUS FRUITS,2,1
7023,OTHER CITRUS FRUITS,3,1000
7023,OTHER CITRUS FRUITS,4,1
7023,OTHER CITRUS FRUITS,5,83
7023,OTHER CITRUS FRUITS,6,385
7031,MANGOES,1,1000
7031,MANGOES,2,1
7031,MANGOES,3,1000
7031,MANGOES,4,1
7031,MANGOES,5,200
7031,MANGOES,6,904
7032,AVOCADO,1,1000
7032,AVOCADO,2,1
7032,AVOCADO,3,1000
7032,AVOCADO,4,1
7032,AVOCADO,5,150
7032,AVOCADO,6,904
7033,OTHER FRUITS,1,1000
7033,OTHER FRUITS,2,1
7033,OTHER FRUITS,3,1000
7033,OTHER FRUITS,4,1
7033,OTHER FRUITS,5,175
7033,OTHER FRUITS,6,904
8041,CHICKEN,1,1000
8041,CHICKEN,2,1
8041,CHICKEN,3,1000
8041,CHICKEN,4,1
8041,CHICKEN,5,531
8042,OTHER POULTRY,1,1000
8042,OTHER POULTRY,2,1
8042,OTHER POULTRY,3,1000
8042,OTHER POULTRY,4,1
8081,DAGAA (FRESH),1,1000
8081,DAGAA (FRESH),2,1
8081,DAGAA (FRESH),3,1000
8081,DAGAA (FRESH),4,1
8081,DAGAA (FRESH),6,176
8082,KOLEKOLE (FRESH),1,1000
8082,KOLEKOLE (FRESH),2,1
8082,KOLEKOLE (FRESH),3,1000
8082,KOLEKOLE (FRESH),4,1
8082,KOLEKOLE (FRESH),5,96
8082,KOLEKOLE (FRESH),6,176
8083,TILAPIA (FRESH),1,1000
8083,TILAPIA (FRESH),2,1
8083,TILAPIA (FRESH),3,1000
8083,TILAPIA (FRESH),4,1
8083,TILAPIA (FRESH),5,237
8083,TILAPIA (FRESH),6,315
8084,OTHER FRESH FISH AND SEAFOOD,1,1000
8084,OTHER FRESH FISH AND SEAFOOD,2,1
8084,OTHER FRESH FISH AND SEAFOOD,3,1000
8084,OTHER FRESH FISH AND SEAFOOD,4,1
8084,OTHER FRESH FISH AND SEAFOOD,5,167
8084,OTHER FRESH FISH AND SEAFOOD,6,254
11011,BUNS,1,1000
11011,BUNS,2,1
11011,BUNS,3,1000
11011,BUNS,4,1
11011,BUNS,5,50
11021,CAKES AND BISCUITS,1,1000
11021,CAKES AND BISCUITS,2,1
11021,CAKES AND BISCUITS,3,1000
11021,CAKES AND BISCUITS,4,1
11021,CAKES AND BISCUITS,5,50
